name,team,bib_number,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,year_edition,age,bmi
CARAPAZ Richard,EF Education - EasyPost (WT),107.0,1.7,62.0,1262,4060,551,88,4822,1735,2025,32,21.453287197231838
SWEENY Harry,EF Education - EasyPost (WT),107.0,1.86,75.0,177,228,159,63,107,251,2025,27,21.678806798473808
POWLESS Neilson,EF Education - EasyPost (WT),107.0,1.83,67.0,2607,1569,891,238,1678,1109,2025,29,20.00656932126967
HEALY Ben,EF Education - EasyPost (WT),107.0,1.75,65.0,1284,504,470,40,957,480,2025,25,21.224489795918366
POGAČAR Tadej,UAE Team Emirates - XRG (WT),107.0,1.76,66.0,7677,6844,2703,194,8498,3706,2025,27,21.306818181818183
ALMEIDA João,UAE Team Emirates - XRG (WT),107.0,1.78,63.0,431,4704,2644,47,4249,1294,2025,27,19.883853048857468
YATES Adam,UAE Team Emirates - XRG (WT),107.0,1.73,58.0,2349,7079,1216,64,7222,2004,2025,33,19.37919743392696
SIVAKOV Pavel,UAE Team Emirates - XRG (WT),107.0,1.88,70.0,1028,2593,506,26,1998,628,2025,28,19.805341783612494
SOLER Marc,UAE Team Emirates - XRG (WT),107.0,1.86,68.0,295,2575,774,8,2949,1244,2025,32,19.65545149728292
WELLENS Tim,UAE Team Emirates - XRG (WT),107.0,1.82,71.0,4124,4296,1406,347,2405,2854,2025,34,21.434609346697258
NARVÁEZ Jhonatan,UAE Team Emirates - XRG (WT),107.0,1.74,65.0,1123,1228,23,262,834,1284,2025,28,21.469150482230148
NOVAK Domen,UAE Team Emirates - XRG (WT),107.0,1.81,70.0,81,480,28,19,269,75,2025,30,21.36686914318855
POLITT Nils,UAE Team Emirates - XRG (WT),107.0,1.92,80.0,2248,1025,1244,472,152,1439,2025,31,21.70138888888889
GALL Felix,Decathlon AG2R La Mondiale Team (WT),107.0,1.8,66.0,324,1195,97,2,2060,334,2025,27,20.37037037037037
ROGLIČ Primož,Red Bull - BORA - hansgrohe (WT),107.0,1.77,65.0,1877,8104,5706,68,8072,3002,2025,36,20.747550193111813
MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe (WT),107.0,1.72,63.0,839,2835,1258,13,2474,736,2025,29,21.29529475392104
VLASOV Aleksandr,Red Bull - BORA - hansgrohe (WT),107.0,1.86,68.0,1438,3649,1094,96,4040,1438,2025,29,19.65545149728292
TRATNIK Jan,Red Bull - BORA - hansgrohe (WT),107.0,1.73,67.0,1227,888,1802,150,587,834,2025,35,22.386314277122523
VAN POPPEL Danny,Red Bull - BORA - hansgrohe (WT),107.0,1.84,82.0,3341,785,435,4790,198,1762,2025,32,24.22022684310019
LIPOWITZ Florian,Red Bull - BORA - hansgrohe (WT),107.0,1.81,68.0,81,1130,295,4,867,266,2025,25,20.756387167668876
EVENEPOEL Remco,Soudal Quick-Step (WT),107.0,1.71,61.0,3370,4254,4131,120,4068,1544,2025,25,20.86111966075032
MERLIER Tim,Soudal Quick-Step (WT),107.0,1.88,76.0,4193,114,3,5334,4,462,2025,33,21.50294250792214
VAN LERBERGHE Bert,Soudal Quick-Step (WT),107.0,1.9,83.0,1206,166,48,654,0,140,2025,33,22.991689750692522
EENKHOORN Pascal,Soudal Quick-Step (WT),107.0,1.85,72.0,654,448,206,232,158,443,2025,28,21.0372534696859
PARET-PEINTRE Valentin,Soudal Quick-Step (WT),107.0,1.78,52.0,75,497,1,14,612,174,2025,24,16.41206918318394
VAN WILDER Ilan,Soudal Quick-Step (WT),107.0,1.71,64.0,535,1534,776,22,1268,705,2025,25,21.887076365377382
SCHACHMANN Maximilian,Soudal Quick-Step (WT),107.0,1.83,71.0,1430,2161,1930,94,1962,1788,2025,31,21.20099137030069
CATTANEO Mattia,Soudal Quick-Step (WT),107.0,1.84,67.0,753,1574,2179,10,1239,743,2025,35,19.78969754253308
PEDERSEN Casper,Soudal Quick-Step (WT),107.0,1.86,71.0,574,477,303,210,81,303,2025,29,20.522603769221874
