year_edition,rider_name,team,bib_number,nationality,birthdate,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,age,bmi,name_clean,rank,nat_AR,nat_AT,nat_AU,nat_BE,nat_CA,nat_CH,nat_CO,nat_CZ,nat_DE,nat_DK,nat_EE,nat_ER,nat_ES,nat_FR,nat_GB,nat_HR,nat_IE,nat_IT,nat_KZ,nat_LT,nat_LU,nat_LV,nat_NL,nat_NO,nat_NZ,nat_Other,nat_PL,nat_PT,nat_RU,nat_SI,nat_SK,nat_US,nat_ZA,climber_cat,speciality_climber_cat,speciality_gc_cat,speciality_sprint_cat,speciality_time_trial_cat,speciality_one_day_races_cat,speciality_hills_cat,speciality_gc_cat_num,speciality_climber_cat_num,speciality_time_trial_cat_num,age_group,age_group_adj,rank_group
2014,EISEL Bernhard,Team Sky (WT),2,AT,1981-2-17,1.83,74.0,2277,1126,268,684,102,541,33,22.096807907073963,bernhard eisel,114.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,High,Medium,High,Medium,1,0,1,"(30, 35]","(30, 35]",Below 10
2014,KIRYIENKA Vasil,Team Sky (WT),3,BY,1981-6-28,1.82,69.0,506,1537,4521,29,1288,608,33,20.830817534114235,vasil kiryienka,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium,Medium,Medium,Low,High,Low,Medium,1,1,2,"(30, 35]","(30, 35]",Below 10
2014,LÓPEZ David,Team Sky (WT),4,ES,1981-5-13,1.79,68.0,659,2028,264,1,939,476,33,21.22280827689523,david lopez,111.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,High,Low,Medium,Low,Medium,2,1,1,"(30, 35]","(30, 35]",Below 10
2014,NIEVE Mikel,Team Sky (WT),5,ES,1984-5-26,1.73,62.0,811,3608,31,0,4074,486,30,20.715693808680545,mikel nieve,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,Low,Low,Medium,Medium,2,2,0,"(25, 30]","(25, 30]",Below 10
2014,PATE Danny,Team Sky (WT),6,US,1979-3-24,1.85,73.0,392,602,926,0,126,25,35,21.32943754565376,danny pate,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,Low,Low,Low,High,Low,Low,0,0,2,"(30, 35]","(30, 35]",Below 10
2014,PORTE Richie,Team Sky (WT),7,AU,1985-1-30,1.72,62.0,334,7697,4287,38,4406,2044,29,20.9572742022715,richie porte,23.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,Low,High,Low,High,2,2,2,"(25, 30]","(25, 30]",Below 10
2014,THOMAS Geraint,Team Sky (WT),8,GB,1986-5-25,1.83,71.0,1277,6411,5423,306,4205,2692,28,21.20099137030069,geraint thomas,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,High,High,Medium,High,2,2,2,"(25, 30]","(25, 30]",Below 10
2014,VALVERDE Alejandro,Movistar Team (WT),11,ES,1980-4-25,1.77,61.0,13381,13732,4946,336,15230,7433,34,19.4707778735357,alejandro valverde,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,High,High,High,High,2,2,2,"(30, 35]","(30, 35]",Top 10
2014,ERVITI Imanol,Movistar Team (WT),12,ES,1983-11-15,1.9,82.0,749,951,437,60,216,328,30,22.71468144044321,imanol erviti,62.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,Medium,Medium,Medium,Low,1,0,1,"(25, 30]","(25, 30]",Below 10
2014,GADRET John,Movistar Team (WT),13,FR,1979-4-22,1.7,58.0,622,1826,219,0,1822,218,35,20.06920415224914,john gadret,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,Medium,Low,Medium,Low,Low,1,2,1,"(30, 35]","(30, 35]",Below 10
