year_edition,bib_number,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,age,bmi,rank
2014,2,1.83,74.0,2277,1126,268,684,102,541,33,22.096807907073963,114.0
2014,3,1.82,69.0,506,1537,4521,29,1288,608,33,20.830817534114235,112.0
2014,4,1.79,68.0,659,2028,264,1,939,476,33,21.22280827689523,111.0
2014,5,1.73,62.0,811,3608,31,0,4074,486,30,20.715693808680545,18.0
2014,6,1.85,73.0,392,602,926,0,126,25,35,21.32943754565376,113.0
2014,7,1.72,62.0,334,7697,4287,38,4406,2044,29,20.9572742022715,23.0
2014,8,1.83,71.0,1277,6411,5423,306,4205,2692,28,21.20099137030069,22.0
2014,11,1.77,61.0,13381,13732,4946,336,15230,7433,34,19.4707778735357,4.0
2014,12,1.9,82.0,749,951,437,60,216,328,30,22.71468144044321,62.0
2014,13,1.7,58.0,622,1826,219,0,1822,218,35,20.06920415224914,19.0
2014,15,1.75,61.0,349,2139,752,0,1436,518,28,19.918367346938776,142.0
2014,17,1.91,77.0,450,2409,2023,3,1126,470,34,21.106877552698663,143.0
2014,18,1.77,70.0,3020,1993,129,1050,1390,3162,29,22.34351559258195,149.0
2014,19,1.75,63.0,5550,1979,802,64,2817,1624,31,20.571428571428573,63.0
2014,23,1.83,78.0,11319,2254,301,10136,480,5284,26,23.291229956104985,78.0
2014,24,1.74,66.0,5778,666,77,673,635,910,37,21.79944510503369,86.0
2014,25,1.85,80.0,738,292,210,406,27,145,28,23.37472607742878,144.0
2014,32,1.83,71.0,3137,1090,1106,1841,512,2612,33,21.20099137030069,87.0
2014,34,1.73,62.0,1184,5689,919,40,6358,1922,24,20.715693808680545,131.0
2014,35,1.83,71.0,1239,978,366,711,143,518,29,21.20099137030069,88.0
2014,37,1.78,70.0,1352,3473,672,192,3660,2294,29,22.09317005428608,130.0
2014,38,1.85,74.0,634,5362,5388,64,1546,746,34,21.62162162162162,27.0
2014,39,1.81,74.0,1847,930,283,228,258,480,40,22.587833094227893,132.0
2014,41,1.81,65.0,4805,9872,3781,274,9273,2889,29,19.84066420438937,1.0
2014,42,1.82,67.0,3654,6658,1693,191,5816,2402,29,20.227025721531216,34.0
2014,44,1.86,78.0,598,774,913,10,14,22,28,22.54595907041276,123.0
2014,45,1.71,67.0,1730,867,203,21,600,596,33,22.91303307000445,122.0
2014,46,1.78,65.0,792,2357,1490,10,1679,609,27,20.515086478979924,20.0
2014,47,1.74,62.0,1579,4968,1302,64,4568,1392,34,20.478266613819528,120.0
2014,48,1.85,70.0,139,516,47,20,113,173,33,20.45288531775018,119.0
2014,49,1.85,74.0,384,1597,2720,45,352,431,31,21.62162162162162,121.0
2014,51,1.82,78.0,9426,1797,1335,5996,2578,8566,24,23.54788069073783,46.0
2014,52,1.86,77.0,303,883,3562,86,18,138,29,22.25690831309978,91.0
2014,55,1.83,72.0,704,522,578,12,205,174,27,21.49959688255845,148.0
2014,56,1.74,67.0,3321,1701,156,84,428,785,30,22.12973972783723,85.0
2014,58,1.87,74.0,506,578,87,284,61,285,29,21.161600274528865,89.0
2014,61,1.84,64.0,5218,6013,2080,179,7443,4110,27,18.90359168241966,10.0
2014,62,1.91,75.0,1484,2101,2981,485,145,585,28,20.558646966914285,92.0
2014,64,1.78,63.0,344,4479,1440,16,3983,1318,27,19.883853048857468,15.0
2014,66,1.81,71.0,1143,1186,308,18,130,344,35,21.672110130948383,51.0
2014,68,1.9,77.0,4870,782,267,970,380,1748,25,21.32963988919668,93.0
