name,rider_url,team,team_url,bib_number,nationality
CARAPAZ Richard,richard-carapaz,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,EC
SWEENY Harry,harry-sweeny,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,AU
POWLESS Neilson,neilson-powless,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,US
HEALY Ben,ben-healy,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,IE
POGAČAR Tadej,tadej-pogacar,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI
ALMEIDA João,joao-almeida,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,PT
YATES Adam,adam-yates,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,GB
SIVAKOV Pavel,pavel-sivakov,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,FR
SOLER Marc,marc-soler,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,ES
WELLENS Tim,tim-wellens,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,BE
NARVÁEZ Jhonatan,jhonatan-narvaez,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,EC
NOVAK Domen,domen-novak,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI
POLITT Nils,nils-politt,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,DE
GALL Felix,felix-gall,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025,,AT
ROGLIČ Primož,primoz-roglic,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI
MARTÍNEZ Daniel Felipe,daniel-felipe-martinez,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,CO
VLASOV Aleksandr,aleksandr-vlasov,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,RU
TRATNIK Jan,jan-tratnik,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI
VAN POPPEL Danny,danny-van-poppel,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,NL
LIPOWITZ Florian,florian-lipowitz,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,DE
EVENEPOEL Remco,remco-evenepoel,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
MERLIER Tim,tim-merlier,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
VAN LERBERGHE Bert,bert-van-lerberghe,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
EENKHOORN Pascal,pascal-eenkhoorn,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,NL
PARET-PEINTRE Valentin,valentin-paret-peintre,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,FR
VAN WILDER Ilan,ilan-van-wilder,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE
ARANBURU Alex,alex-aranburu,Cofidis (WT),team/cofidis-2025,,ES
IZAGIRRE Ion,ion-izagirre,Cofidis (WT),team/cofidis-2025,,ES
THOMAS Benjamin,benjamin-thomas-2,Cofidis (WT),team/cofidis-2025,,FR
BUCHMANN Emanuel,emanuel-buchmann,Cofidis (WT),team/cofidis-2025,,DE
CARR Simon,simon-carr,Cofidis (WT),team/cofidis-2025,,GB
VAN DER POEL Mathieu,mathieu-van-der-poel,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL
PHILIPSEN Jasper,jasper-philipsen,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,BE
GROVES Kaden,kaden-groves,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,AU
RIESEBEEK Oscar,oscar-riesebeek,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL
VAUQUELIN Kévin,kevin-vauquelin,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025,,FR
VAN AERT Wout,wout-van-aert,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE
