name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,pcs_rank,uci_world_rank,all_time_rank,one_day_races,gc,time_trial,sprint,climber,hills
CARAPAZ Richard,richard-carapaz,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,EC,1993-5-29,El Carmelo,1.7,62.0,,,,1262,4060,551,88,4822,1735
SWEENY Harry,harry-sweeny,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,AU,1998-7-9,Warwick,1.86,75.0,,,,177,228,159,63,107,251
POWLESS Neilson,neilson-powless,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,US,1996-9-3,Eglin,1.83,67.0,,,,2607,1569,891,238,1678,1109
HEALY Ben,ben-healy,EF Education - EasyPost (WT),team/ef-education-easypost-2025,,IE,2000-9-11,Kingswinford,1.75,65.0,,,,1284,504,470,40,957,480
POGAČAR Tadej,tadej-pogacar,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI,1998-9-21,Klanec,1.76,66.0,,,,7677,6844,2703,302,8498,3706
ALMEIDA João,joao-almeida,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,PT,1998-8-5,Caldas da Rainha,1.78,63.0,,,,431,4704,2644,127,4199,1294
YATES Adam,adam-yates,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,GB,1992-8-7,Bury,1.73,58.0,,,,2349,7079,1216,64,7222,2004
SIVAKOV Pavel,pavel-sivakov,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,FR,1997-7-11,San Donà di Piave,1.88,70.0,,,,1028,2593,506,26,1998,628
SOLER Marc,marc-soler,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,ES,1993-11-22,Vilanova i la Geltrú,1.86,68.0,,,,295,2575,774,8,2949,1244
WELLENS Tim,tim-wellens,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,BE,1991-5-10,Sint-Truiden,1.82,71.0,,,,4124,4296,1406,347,2405,2854
NARVÁEZ Jhonatan,jhonatan-narvaez,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,EC,1997-3-4,Playón de San Francisco,1.74,65.0,,,,1123,1223,23,304,834,1284
NOVAK Domen,domen-novak,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,SI,1995-7-12,Dolenja vas,1.81,70.0,,,,81,480,28,19,269,75
POLITT Nils,nils-politt,UAE Team Emirates - XRG (WT),team/uae-team-emirates-xrg-2025,,DE,1994-3-6,Cologne,1.92,80.0,,,,2248,1025,1244,472,152,1439
GALL Felix,felix-gall,Decathlon AG2R La Mondiale Team (WT),team/decathlon-ag2r-la-mondiale-2025,,AT,1998-2-27,Nußdorf-Debant,1.8,66.0,,,,324,1195,97,2,2016,334
ROGLIČ Primož,primoz-roglic,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI,1989-10-29,Trbovlje,1.77,65.0,,,,1877,8104,5706,68,8072,3002
MARTÍNEZ Daniel Felipe,daniel-felipe-martinez,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,CO,1996-4-25,Soacha,1.72,63.0,,,,839,2835,1258,13,2474,736
VLASOV Aleksandr,aleksandr-vlasov,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,RU,1996-4-23,Vyborg,1.86,68.0,,,,1438,3649,1094,96,4036,1438
TRATNIK Jan,jan-tratnik,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,SI,1990-2-23,Idrija,1.73,67.0,,,,1227,888,1802,150,587,834
VAN POPPEL Danny,danny-van-poppel,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,NL,1993-7-26,Moergestel,1.84,82.0,,,,3341,785,435,4790,198,1762
LIPOWITZ Florian,florian-lipowitz,Red Bull - BORA - hansgrohe (WT),team/red-bull-bora-hansgrohe-2025,,DE,2000-9-21,Laichingen,1.81,68.0,,,,81,1130,295,4,867,266
EVENEPOEL Remco,remco-evenepoel,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE,2000-1-25,Aalst,1.71,61.0,,,,3370,4254,4131,120,4068,1544
MERLIER Tim,tim-merlier,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE,1992-10-30,Wortegem-Petegem,1.88,76.0,,,,4193,114,3,5320,4,462
VAN LERBERGHE Bert,bert-van-lerberghe,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE,1992-9-29,Kortrijk,1.9,83.0,,,,1206,166,48,654,0,140
EENKHOORN Pascal,pascal-eenkhoorn,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,NL,1997-2-8,Genemuiden,1.85,72.0,,,,654,448,206,232,158,443
PARET-PEINTRE Valentin,valentin-paret-peintre,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,FR,2001-1-14,Annemasse,1.78,52.0,,,,75,497,1,14,612,174
VAN WILDER Ilan,ilan-van-wilder,Soudal Quick-Step (WT),team/soudal-quick-step-2025,,BE,2000-5-14,Jette,1.71,64.0,,,,535,1534,776,22,1236,705
ARANBURU Alex,alex-aranburu,Cofidis (WT),team/cofidis-2025,,ES,1995-9-19,Ezkio-Itsaso,1.78,63.0,,,,2336,928,301,376,1705,2475
IZAGIRRE Ion,ion-izagirre,Cofidis (WT),team/cofidis-2025,,ES,1989-2-4,Ormaiztegi,1.73,60.0,,,,2008,5429,3017,172,4548,2284
THOMAS Benjamin,benjamin-thomas-2,Cofidis (WT),team/cofidis-2025,,FR,1995-9-12,Lavaur,1.79,68.0,,,,393,911,1160,238,208,983
BUCHMANN Emanuel,emanuel-buchmann,Cofidis (WT),team/cofidis-2025,,DE,1992-11-18, Ravensburg,1.8,59.0,,,,816,3249,233,80,2960,840
CARR Simon,simon-carr,Cofidis (WT),team/cofidis-2025,,GB,1998-8-29,Hereford,1.83,66.0,,,,349,289,91,0,444,84
VAN DER POEL Mathieu,mathieu-van-der-poel,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL,1995-1-19,Kapellen,1.84,75.0,,,,7991,1129,1028,1467,1072,3628
PHILIPSEN Jasper,jasper-philipsen,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,BE,1998-3-2,Mol,1.76,75.0,,,,5089,574,154,5820,185,2358
GROVES Kaden,kaden-groves,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,AU,1998-12-23,Gympie,1.76,76.0,,,,526,266,357,1446,175,1904
RIESEBEEK Oscar,oscar-riesebeek,Alpecin - Deceuninck (WT),team/alpecin-deceuninck-2025,,NL,1992-12-23,Ede,1.91,78.0,,,,615,471,108,238,150,286
VAUQUELIN Kévin,kevin-vauquelin,Arkéa - B&B Hotels (WT),team/arkea-b-b-hotels-2025,,FR,2001-4-26,Bayeux,1.76,69.0,,,,776,1127,792,76,648,789
VAN AERT Wout,wout-van-aert,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE,1994-9-15,Herentals,1.9,78.0,,,,7819,1191,3042,1982,2102,4755
YATES Simon,simon-yates,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,GB,1992-8-7,Bury,1.72,58.0,,,,1188,5805,1215,36,6211,1839
VINGEGAARD Jonas,jonas-vingegaard,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,DK,1996-12-10,Hillerslev,1.75,58.0,,,,320,5026,2064,129,4390,1561
JORGENSON Matteo,matteo-jorgenson,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,US,1999-7-1,Walnut Creek,1.9,69.0,,,,927,2002,584,138,1564,1154
KUSS Sepp,sepp-kuss,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,US,1994-9-13,Durango,1.82,61.0,,,,193,2616,315,44,3328,570
CAMPENAERTS Victor,victor-campenaerts,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE,1991-10-28,Hoboken,1.73,68.0,,,,784,945,3553,200,378,776
BENOOT Tiesj,tiesj-benoot,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,BE,1994-3-11,Ghent,1.9,72.0,,,,5252,1912,83,932,2687,3018
AFFINI Edoardo,edoardo-affini,Team Visma | Lease a Bike (WT),team/team-visma-lease-a-bike-2025,,IT,1996-6-24,Mantua,1.9,80.0,,,,162,279,2063,212,6,136
KWIATKOWSKI Michał,michal-kwiatkowski,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,PL,1990-6-2,Chełmża,1.76,68.0,,,,4717,3670,3561,281,3312,3584
RODRÍGUEZ Carlos,carlos-rodriguez-cano,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,ES,2001-2-2,Almuñécar,1.83,67.0,,,,503,2483,447,14,2367,527
GANNA Filippo,filippo-ganna,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,IT,1996-7-25,Verbania,1.93,83.0,,,,997,981,5698,312,298,1140
THOMAS Geraint,geraint-thomas,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,GB,1986-5-25,Cardiff,1.83,71.0,,,,1277,6411,5423,306,4205,2692
ARENSMAN Thymen,thymen-arensman,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,NL,1999-12-4,Deil,1.9,68.0,,,,62,1850,1291,28,1518,546
DE PLUS Laurens,laurens-de-plus,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,BE,1995-9-4, Aalst,1.89,67.0,,,,263,1517,446,7,1056,592
FOSS Tobias,tobias-foss,INEOS Grenadiers (WT),team/ineos-grenadiers-2025,,NO,1997-5-25,Vingrom,1.84,74.0,,,,135,747,1815,13,484,321
GIRMAY Biniam,biniam-girmay,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,ER,2000-4-2,Asmara,1.84,70.0,,,,3008,90,112,1276,238,1907
