Year,Rnk,Prev,Up/Down,Rider,Team,Pnt,Time
2014,1,161,+5:06:27,101,,Sprint,KITTEL Marcel Team Giant - Shimano
2014,2,125,+4:11:46,23,,Classic,KRISTOFF Alexander Team Katusha
2014,3,141,+4:37:42,97,,TT,NAVARDAUSKAS Ramūnas Garmin Sharp
2014,4,149,+4:44:54,135,,Sprint,GREIPEL André Lotto Belisol
2014,5,142,+4:39:03,77,,Classic,RENSHAW Mark Omega Pharma - Quick-Step
2014,6,126,+4:13:21,2,,Classic,EISEL Bernhard Team Sky
2014,7,104,+3:44:45,153,,Sprint,COQUARD Bryan Team Europcar
2014,8,148,+4:44:47,76,,Sprint,PETACCHI Alessandro Omega Pharma - Quick-Step
2014,9,60,+2:52:52,51,,Classic,SAGAN Peter Cannondale
2014,10,150,+4:45:04,214,,Classic,FEILLU Romain Bretagne - Séché Environnement
2014,11,96,+3:40:46,32,,Classic,BENNATI Daniele Tinkoff - Saxo
2014,12,159,+5:00:29,121,,Sprint,DÉMARE Arnaud FDJ.fr
2014,13,38,+1:56:34,148,,Classic,VAN AVERMAET Greg BMC Racing Team
2014,14,156,+4:58:20,177,,Classic,"PETIT Adrien Cofidis, Solutions Crédits"
2014,15,106,+3:45:54,68,,Classic,VANMARCKE Sep Belkin-Pro Cycling Team
2014,16,69,+2:58:41,145,,Classic,OSS Daniel BMC Racing Team
2014,17,163,+5:11:58,112,,Hills,CIMOLAI Davide Lampre - Merida
2014,18,6,+11:26,82,,Climber,BARDET Romain AG2R La Mondiale
2014,19,5,+11:24,141,,GC,VAN GARDEREN Tejay BMC Racing Team
2014,20,74,+3:08:40,99,,Classic,VANSUMMEREN Johan Garmin Sharp
2014,21,139,+4:33:45,196,,GC,KLUGE Roger IAM Cycling
2014,22,73,+3:08:12,158,,Hills,REZA Kévin Team Europcar
2014,23,137,+4:29:57,93,,GC,BAUER Jack Garmin Sharp
2014,24,155,+4:53:23,109,,Classic,VEELERS Tom Team Giant - Shimano
2014,25,162,+5:10:40,59,,Sprint,VIVIANI Elia Cannondale
2014,26,108,+3:46:37,168,,GC,VOIGT Jens Trek Factory Racing
2014,27,4,+9:40,11,,Climber,VALVERDE Alejandro Movistar Team
2014,28,90,+3:38:04,84,,Classic,DUMOULIN Samuel AG2R La Mondiale
2014,29,27,+1:19:38,149,,GC,VELITS Peter BMC Racing Team
2014,30,40,+1:59:02,66,,GC,TANKINK Bram Belkin-Pro Cycling Team
2014,31,66,+2:55:47,88,,Classic,MONTAGUTI Matteo AG2R La Mondiale
