Rnk,GC,Timelag,BIB,H2H,Specialty,Rider,Age,Team,UCI,Pnt,Unnamed: 11,Time
1,161,+5:06:27,101,,Sprint,KITTEL Marcel Team Giant - Shimano,26,Team Giant - Shimano,20.0,100.0,,3:20:50
2,125,+4:11:46,23,,Classic,KRISTOFF Alexander Team Katusha,27,Team Katusha,10.0,70.0,,",,0:00"
3,141,+4:37:42,97,,TT,NAVARDAUSKAS Ramūnas Garmin Sharp,26,Garmin Sharp,6.0,50.0,,",,0:00"
4,149,+4:44:54,135,,Sprint,GREIPEL André Lotto Belisol,32,Lotto Belisol,4.0,40.0,,",,0:00"
5,142,+4:39:03,77,,Classic,RENSHAW Mark Omega Pharma - Quick-Step,31,Omega Pharma - Quick-Step,2.0,32.0,,",,0:00"
6,126,+4:13:21,2,,Classic,EISEL Bernhard Team Sky,33,Team Sky,,26.0,,",,0:00"
7,104,+3:44:45,153,,Sprint,COQUARD Bryan Team Europcar,22,Team Europcar,,22.0,,",,0:00"
8,148,+4:44:47,76,,Sprint,PETACCHI Alessandro Omega Pharma - Quick-Step,40,Omega Pharma - Quick-Step,,18.0,,",,0:00"
9,60,+2:52:52,51,,Classic,SAGAN Peter Cannondale,24,Cannondale,,14.0,,",,0:00"
10,150,+4:45:04,214,,Classic,FEILLU Romain Bretagne - Séché Environnement,30,Bretagne - Séché Environnement,,10.0,,",,0:00"
11,96,+3:40:46,32,,Classic,BENNATI Daniele Tinkoff - Saxo,33,Tinkoff - Saxo,,8.0,,",,0:00"
12,159,+5:00:29,121,,Sprint,DÉMARE Arnaud FDJ.fr,22,FDJ.fr,,6.0,,",,0:00"
13,38,+1:56:34,148,,Classic,VAN AVERMAET Greg BMC Racing Team,29,BMC Racing Team,,4.0,,",,0:00"
14,156,+4:58:20,177,,Classic,"PETIT Adrien Cofidis, Solutions Crédits",23,"Cofidis, Solutions Crédits",,2.0,,",,0:00"
15,106,+3:45:54,68,,Classic,VANMARCKE Sep Belkin-Pro Cycling Team,25,Belkin-Pro Cycling Team,,1.0,,",,0:00"
16,69,+2:58:41,145,,Classic,OSS Daniel BMC Racing Team,27,BMC Racing Team,,,,",,0:00"
17,163,+5:11:58,112,,Hills,CIMOLAI Davide Lampre - Merida,24,Lampre - Merida,,,,",,0:00"
18,6,+11:26,82,,Climber,BARDET Romain AG2R La Mondiale,23,AG2R La Mondiale,,,,0:040:04
19,5,+11:24,141,,GC,VAN GARDEREN Tejay BMC Racing Team,25,BMC Racing Team,,,,",,0:04"
20,74,+3:08:40,99,,Classic,VANSUMMEREN Johan Garmin Sharp,33,Garmin Sharp,,,,",,0:04"
21,139,+4:33:45,196,,GC,KLUGE Roger IAM Cycling,28,IAM Cycling,,,,0:060:06
22,73,+3:08:12,158,,Hills,REZA Kévin Team Europcar,26,Team Europcar,,,,",,0:06"
23,137,+4:29:57,93,,GC,BAUER Jack Garmin Sharp,29,Garmin Sharp,,,,",,0:06"
24,155,+4:53:23,109,,Classic,VEELERS Tom Team Giant - Shimano,29,Team Giant - Shimano,,,,",,0:06"
25,162,+5:10:40,59,,Sprint,VIVIANI Elia Cannondale,25,Cannondale,,,,0:090:09
