year_edition,name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,current_pcs_rank,current_uci_world_rank,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills
2014,FROOME Chris,christopher-froome,Team Sky (WT),team/team-sky-2014,1,GB,1985-5-20,Nairobi,1.86,68.0,,,385,8296,4389,188,6508,2328
2014,EISEL Bernhard,bernhard-eisel,Team Sky (WT),team/team-sky-2014,2,AT,1981-2-17,Voitsberg,1.83,74.0,,,2277,1126,268,684,102,541
2014,KIRYIENKA Vasil,vasil-kiryienka,Team Sky (WT),team/team-sky-2014,3,BY,1981-6-28,Rečyca,1.82,69.0,,,506,1537,4521,29,1288,608
2014,LÓPEZ David,david-lopez,Team Sky (WT),team/team-sky-2014,4,ES,1981-5-13,Barakaldo,1.79,68.0,,,659,2028,264,1,939,476
2014,NIEVE Mikel,mikel-nieve,Team Sky (WT),team/team-sky-2014,5,ES,1984-5-26,Leitza,1.73,62.0,,,811,3608,31,0,4074,486
2014,PATE Danny,danny-pate,Team Sky (WT),team/team-sky-2014,6,US,1979-3-24,Colorado Springs,1.85,73.0,,,392,602,926,0,126,25
2014,PORTE Richie,richie-porte,Team Sky (WT),team/team-sky-2014,7,AU,1985-1-30,Launceston,1.72,62.0,,,334,7697,4287,38,4406,2044
2014,THOMAS Geraint,geraint-thomas,Team Sky (WT),team/team-sky-2014,8,GB,1986-5-25,Cardiff,1.83,71.0,,,1277,6411,5423,306,4205,2692
2014,ZANDIO Xabier,xabier-zandio,Team Sky (WT),team/team-sky-2014,9,ES,1977-3-17,Pamplona,1.84,73.0,,,223,816,68,3,365,274
2014,VALVERDE Alejandro,alejandro-valverde,Movistar Team (WT),team/movistar-team-2014,11,ES,1980-4-25,Murcia,1.77,61.0,,,13381,13732,4946,336,15230,7433
2014,ERVITI Imanol,imanol-erviti,Movistar Team (WT),team/movistar-team-2014,12,ES,1983-11-15,Pamplona,1.9,82.0,,,749,951,437,60,216,328
2014,GADRET John,john-gadret,Movistar Team (WT),team/movistar-team-2014,13,FR,1979-4-22,Épernay,1.7,58.0,,,622,1826,219,0,1822,218
2014,HERRADA Jesús,jesus-herrada-lopez,Movistar Team (WT),team/movistar-team-2014,14,ES,1990-7-26,Mota del Cuervo,1.83,70.0,,,2089,2338,946,481,2060,1406
2014,INTXAUSTI Beñat,benat-intxausti,Movistar Team (WT),team/movistar-team-2014,15,ES,1986-3-20,Amorebieta-Etxano,1.75,61.0,,,349,2139,752,0,1436,518
2014,IZAGIRRE Ion,ion-izagirre,Movistar Team (WT),team/movistar-team-2014,16,ES,1989-2-4,Ormaiztegi,1.73,60.0,,90.0,2008,5429,3017,172,4548,2284
2014,PLAZA Rubén,ruben-plaza,Movistar Team (WT),team/movistar-team-2014,17,ES,1980-2-29,Ibi,1.91,77.0,,,450,2409,2023,3,1126,470
2014,ROJAS José Joaquín,jose-joaquin-rojas,Movistar Team (WT),team/movistar-team-2014,18,ES,1985-6-8,Cieza,1.77,70.0,,,3020,1993,129,1050,1390,3162
2014,VISCONTI Giovanni,giovanni-visconti,Movistar Team (WT),team/movistar-team-2014,19,IT,1983-1-13,Turin,1.75,63.0,,,5550,1979,802,64,2817,1624
2014,RODRÍGUEZ Joaquim,joaquim-rodriguez,Team Katusha  (WT),team/team-katusha-2014,21,ES,1979-5-12,Barcelona,1.69,58.0,,,5300,7630,1382,62,9164,2734
2014,ISAYCHEV Vladimir,vladimir-isaychev,Team Katusha  (WT),team/team-katusha-2014,22,RU,1986-4-21,Samara,1.88,80.0,,,133,143,417,3,4,74
2014,KRISTOFF Alexander,alexander-kristoff,Team Katusha  (WT),team/team-katusha-2014,23,NO,1987-7-5,Stavanger,1.83,78.0,61.0,59.0,11319,2254,301,10136,480,5284
