hybrid_position,rider_name,team,nationality,age,image_url,hybrid_score,predicted_position,uci_rank,pcs_rank
1,POGAČAR Tadej,UAE Team Emirates - XRG (WT),SI,27,https://upload.wikimedia.org/wikipedia/commons/a/a9/2022_Tour_of_Slovenia_%28Stage_3%2C_Tadej_Poga%C4%8Dar_celebrating_victory_on_Celje_Castle_v2%29.jpg,1.0,1,1.0,1.0
2,VINGEGAARD Jonas,Team Visma | Lease a Bike (WT),DK,29,https://upload.wikimedia.org/wikipedia/commons/2/2f/Jonas_Vingegaard_-_Vainqueur_du_Tour_de_France_2023.jpg,3.8000000000000003,2,7.0,6.0
3,ALMEIDA João,UAE Team Emirates - XRG (WT),PT,27,,4.2,4,6.0,3.0
4,EVENEPOEL Remco,Soudal Quick-Step (WT),BE,25,,7.4,11,2.0,2.0
5,ROGLIČ Primož,Red Bull - BORA - hansgrohe (WT),SI,36,,8.600000000000001,8,8.0,11.0
6,MAS Enric,Movistar Team (WT),ES,30,,8.8,7,11.0,12.0
7,CARAPAZ Richard,EF Education - EasyPost (WT),EC,32,,13.600000000000001,15,9.0,14.0
8,YATES Adam,UAE Team Emirates - XRG (WT),GB,33,,15.600000000000001,3,38.0,31.0
9,O'CONNOR Ben,Team Jayco AlUla (WT),AU,30,,16.0,14,14.0,24.0
10,YATES Simon,Team Visma | Lease a Bike (WT),GB,33,,17.0,12,19.0,30.0
11,JORGENSON Matteo,Team Visma | Lease a Bike (WT),US,26,,21.999999999999996,23,20.0,21.0
12,POWLESS Neilson,EF Education - EasyPost (WT),US,29,,27.200000000000003,32,22.0,18.0
13,GAUDU David,Groupama - FDJ (WT),FR,29,,31.200000000000003,5,70.0,71.0
14,ONLEY Oscar,Team Picnic PostNL (WT),GB,23,,31.200000000000003,38,29.0,13.0
15,SKJELMOSE Mattias,Lidl - Trek (WT),DK,25,,31.400000000000002,30,28.0,39.0
16,MARTIN Guillaume,Groupama - FDJ (WT),FR,32,,32.800000000000004,6,88.0,58.0
17,RODRÍGUEZ Carlos,INEOS Grenadiers (WT),ES,24,,33.8,21,54.0,52.0
18,ALAPHILIPPE Julian,Tudor Pro Cycling Team (PRT),FR,33,,36.0,19,57.0,66.0
19,CHAMPOUSSIN Clément,XDS Astana Team (WT),FR,27,,36.6,29,55.0,41.0
20,LIPOWITZ Florian,Red Bull - BORA - hansgrohe (WT),DE,25,,37.0,43,27.0,29.0
21,BUITRAGO Santiago,Bahrain - Victorious (WT),CO,26,,38.2,24,71.0,48.0
22,VAN AERT Wout,Team Visma | Lease a Bike (WT),BE,31,,38.4,61,4.0,5.0
